Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1024, 8], float32[1024, 1]",1,"metal0",200.708,"fused_tir_square30_sum30",0.182454
"float32[1024, 1], float32[1024, 8], float32[1024, 8]",1,"metal0",228.959,"fused_broadcast_to1_maximum1_tir_sqrt13_divide30",0.208135
"float32[1024, 8], float32[8, 1024]",1,"metal0",273.5,"transpose1",0.248625
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8], float32[1, 1]",1,"metal0",198.75,"fused_tir_square29_sum29",0.180674
"float32[1024, 8], float32[1024, 1]",1,"metal0",206.709,"fused_tir_square30_sum30",0.187909
"float32[1024, 1]",1,"metal0",56.208,"vm.builtin.reshape",0.0510959
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",193.875,"fused_matmul_multiply29_subtract_add32",0.176242
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 1024], int32[1, 1024]",1,"metal0",275.208,"argsort",0.250178
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"int32[1, 1024], int32[1], int32[1, 1]",1,"metal0",247.542,"take",0.225028
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"int32[1, 1]",1,"metal0",58.458,"vm.builtin.reshape",0.0531413
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"int32[1, 1]",1,"metal0",74.917,"vm.builtin.reshape",0.0681034
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",219.042,"take1",0.19912
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 8]",1,"metal0",84.375,"vm.builtin.reshape",0.0767012
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 1, 8]",1,"metal0",57.375,"vm.builtin.reshape",0.0521568
"float32[1024, 8, 1], float32[1024, 1, 1]",1,"metal0",216.208,"fused_tir_square31_sum31",0.196544
"float32[1024, 1, 1], float32[1024, 8, 1], float32[1024, 1, 1], float32[1024, 8, 1]",1,"metal0",175.875,"fused_tir_sqrt10_divide31_multiply30",0.159879
"float32[1024]",1,"metal0",59.708,"vm.builtin.reshape",0.0542776
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",252.584,"fused_conv1d41_add30",0.229612
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",178.417,"subtract1",0.16219
"float32[8, 1024, 1], float32[8, 1, 1]",1,"metal0",225.917,"fused_tir_square28_sum28",0.20537
"float32[8, 1, 1], float32[8, 1024, 1], float32[8, 1, 1], float32[8, 1024, 1]",1,"metal0",187.167,"fused_tir_sqrt11_divide28_multiply28",0.170144
"float32[8]",1,"metal0",71.042,"vm.builtin.reshape",0.0645808
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",412.25,"fused_conv1d40_add31",0.374756
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8, 1]",1,"metal0",29.458,"vm.builtin.reshape",0.0267788
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 1, 8]",1,"metal0",51.542,"vm.builtin.reshape",0.0468543
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"float32[1, 8], float32[1, 1]",1,"metal0",208.708,"fused_tir_square29_sum29",0.189726
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",180.416,"fused_broadcast_to_maximum_tir_sqrt12_divide29",0.164007
"float32[1024, 8], float32[1024, 1]",1,"metal0",216.042,"fused_tir_square30_sum30",0.196393
"float32[1024, 1], float32[1024, 8], float32[1024, 8]",1,"metal0",218,"fused_broadcast_to1_maximum1_tir_sqrt13_divide30",0.198173
"float32[1024, 8], float32[8, 1024]",1,"metal0",178.708,"transpose1",0.162455
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8], float32[1, 1]",1,"metal0",191.5,"fused_tir_square29_sum29",0.174083
"float32[1024, 8], float32[1024, 1]",1,"metal0",199.625,"fused_tir_square30_sum30",0.181469
"float32[1024, 1]",1,"metal0",46.292,"vm.builtin.reshape",0.0420818
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",276.042,"fused_matmul_multiply29_subtract_add32",0.250936
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 1024], int32[1, 1024]",1,"metal0",310.583,"argsort",0.282336
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"int32[1, 1024], int32[1], int32[1, 1]",1,"metal0",207.167,"take",0.188325
"int64[8]",1,"cpu0",0.292,"vm.builtin.make_shape",0.000265443
"int32[1, 1]",1,"metal0",78.334,"vm.builtin.reshape",0.0712096
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"int32[1, 1]",1,"metal0",37.958,"vm.builtin.reshape",0.0345058
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",274.333,"take1",0.249383
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 8]",1,"metal0",60.959,"vm.builtin.reshape",0.0554148
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 1, 8]",1,"metal0",62.167,"vm.builtin.reshape",0.056513
"float32[1024, 8, 1], float32[1024, 1, 1]",1,"metal0",202.959,"fused_tir_square31_sum31",0.1845
"float32[1024, 1, 1], float32[1024, 8, 1], float32[1024, 1, 1], float32[1024, 8, 1]",1,"metal0",186.167,"fused_tir_sqrt10_divide31_multiply30",0.169235
"float32[1024]",1,"metal0",62.625,"vm.builtin.reshape",0.0569293
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",219.166,"fused_conv1d41_add30",0.199233
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",209.875,"subtract1",0.190787
"float32[8, 1024, 1], float32[8, 1, 1]",1,"metal0",220.333,"fused_tir_square28_sum28",0.200294
"float32[8, 1, 1], float32[8, 1024, 1], float32[8, 1, 1], float32[8, 1024, 1]",1,"metal0",193.5,"fused_tir_sqrt11_divide28_multiply28",0.175901
"float32[8]",1,"metal0",52.959,"vm.builtin.reshape",0.0481424
"int64[8]",1,"cpu0",0.459,"vm.builtin.make_shape",0.000417254
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",400.833,"fused_conv1d40_add31",0.364378
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8, 1]",1,"metal0",63.833,"vm.builtin.reshape",0.0580275
"int64[8]",1,"cpu0",0.416,"vm.builtin.make_shape",0.000378165
"float32[1, 1, 8]",1,"metal0",72.25,"vm.builtin.reshape",0.0656789
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8], float32[1, 1]",1,"metal0",239.583,"fused_tir_square29_sum29",0.217793
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",198.291,"fused_broadcast_to_maximum_tir_sqrt12_divide29",0.180257
"float32[1024, 8], float32[1024, 1]",1,"metal0",221.584,"fused_tir_square30_sum30",0.201431
"float32[1024, 1], float32[1024, 8], float32[1024, 8]",1,"metal0",201.042,"fused_broadcast_to1_maximum1_tir_sqrt13_divide30",0.182757
"float32[1024, 8], float32[8, 1024]",1,"metal0",220.458,"transpose1",0.200408
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 8], float32[1, 1]",1,"metal0",185,"fused_tir_square29_sum29",0.168174
"float32[1024, 8], float32[1024, 1]",1,"metal0",206.875,"fused_tir_square30_sum30",0.18806
"float32[1024, 1]",1,"metal0",57.792,"vm.builtin.reshape",0.0525359
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",204.542,"fused_matmul_multiply29_subtract_add32",0.185939
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 1024], int32[1, 1024]",1,"metal0",306.084,"argsort",0.278246
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"int32[1, 1024], int32[1], int32[1, 1]",1,"metal0",195.583,"take",0.177795
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"int32[1, 1]",1,"metal0",58.375,"vm.builtin.reshape",0.0530659
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"int32[1, 1]",1,"metal0",48.667,"vm.builtin.reshape",0.0442408
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",170.833,"take1",0.155296
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8]",1,"metal0",54.083,"vm.builtin.reshape",0.0491642
"int64[8]",1,"cpu0",0.541,"vm.builtin.make_shape",0.000491797
"float32[1, 1, 8]",1,"metal0",57.625,"vm.builtin.reshape",0.0523841
"float32[1024, 8, 1], float32[1024, 1, 1]",1,"metal0",219.292,"fused_tir_square31_sum31",0.199348
"float32[1024, 1, 1], float32[1024, 8, 1], float32[1024, 1, 1], float32[1024, 8, 1]",1,"metal0",199.583,"fused_tir_sqrt10_divide31_multiply30",0.181431
"float32[1024]",1,"metal0",54.167,"vm.builtin.reshape",0.0492406
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",204.542,"fused_conv1d41_add30",0.185939
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",207.958,"subtract1",0.189044
"float32[8, 1024, 1], float32[8, 1, 1]",1,"metal0",188.542,"fused_tir_square28_sum28",0.171394
"float32[8, 1, 1], float32[8, 1024, 1], float32[8, 1, 1], float32[8, 1024, 1]",1,"metal0",221.834,"fused_tir_sqrt11_divide28_multiply28",0.201658
"float32[8]",1,"metal0",73.834,"vm.builtin.reshape",0.0671189
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",418.417,"fused_conv1d40_add31",0.380362
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8, 1]",1,"metal0",104.75,"vm.builtin.reshape",0.0952231
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"float32[1, 1, 8]",1,"metal0",147.083,"vm.builtin.reshape",0.133706
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 8], float32[1, 1]",1,"metal0",213.875,"fused_tir_square29_sum29",0.194423
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",179.791,"fused_broadcast_to_maximum_tir_sqrt12_divide29",0.163439
"float32[1024, 8], float32[1024, 1]",1,"metal0",196.458,"fused_tir_square30_sum30",0.17859
"float32[1024, 1], float32[1024, 8], float32[1024, 8]",1,"metal0",186.375,"fused_broadcast_to1_maximum1_tir_sqrt13_divide30",0.169424
"float32[1024, 8], float32[8, 1024]",1,"metal0",177.375,"transpose1",0.161243
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8], float32[1, 1]",1,"metal0",203.25,"fused_tir_square29_sum29",0.184765
"float32[1024, 8], float32[1024, 1]",1,"metal0",324.25,"fused_tir_square30_sum30",0.29476
"float32[1024, 1]",1,"metal0",87.167,"vm.builtin.reshape",0.0792392
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",209.166,"fused_matmul_multiply29_subtract_add32",0.190143
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"float32[1, 1024], int32[1, 1024]",1,"metal0",326.208,"argsort",0.29654
"int64[8]",1,"cpu0",0.416,"vm.builtin.make_shape",0.000378165
"int64[8]",1,"cpu0",0.292,"vm.builtin.make_shape",0.000265443
"int32[1, 1024], int32[1], int32[1, 1]",1,"metal0",230.792,"take",0.209802
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"int32[1, 1]",1,"metal0",56.209,"vm.builtin.reshape",0.0510968
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"int32[1, 1]",1,"metal0",46.291,"vm.builtin.reshape",0.0420809
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",219.917,"take1",0.199916
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"float32[1, 8]",1,"metal0",83.917,"vm.builtin.reshape",0.0762848
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"float32[1, 1, 8]",1,"metal0",73.625,"vm.builtin.reshape",0.0669289
"float32[1024, 8, 1], float32[1024, 1, 1]",1,"metal0",210.208,"fused_tir_square31_sum31",0.19109
"float32[1024, 1, 1], float32[1024, 8, 1], float32[1024, 1, 1], float32[1024, 8, 1]",1,"metal0",215.625,"fused_tir_sqrt10_divide31_multiply30",0.196014
"float32[1024]",1,"metal0",50.291,"vm.builtin.reshape",0.0457171
"int64[8]",1,"cpu0",0.416,"vm.builtin.make_shape",0.000378165
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",236.292,"fused_conv1d41_add30",0.214801
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"int64[8]",1,"cpu0",0.292,"vm.builtin.make_shape",0.000265443
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",197.958,"subtract1",0.179954
"float32[8, 1024, 1], float32[8, 1, 1]",1,"metal0",227.333,"fused_tir_square28_sum28",0.206657
"float32[8, 1, 1], float32[8, 1024, 1], float32[8, 1, 1], float32[8, 1024, 1]",1,"metal0",277.083,"fused_tir_sqrt11_divide28_multiply28",0.251883
"float32[8]",1,"metal0",33.25,"vm.builtin.reshape",0.0302259
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",400.292,"fused_conv1d40_add31",0.363886
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8, 1]",1,"metal0",42.625,"vm.builtin.reshape",0.0387483
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 1, 8]",1,"metal0",74.792,"vm.builtin.reshape",0.0679897
"int64[8]",1,"cpu0",0.292,"vm.builtin.make_shape",0.000265443
"float32[1, 8], float32[1, 1]",1,"metal0",205.208,"fused_tir_square29_sum29",0.186545
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",171.958,"fused_broadcast_to_maximum_tir_sqrt12_divide29",0.156319
"float32[1024, 8], float32[1024, 1]",1,"metal0",200.458,"fused_tir_square30_sum30",0.182227
"float32[1024, 1], float32[1024, 8], float32[1024, 8]",1,"metal0",189.625,"fused_broadcast_to1_maximum1_tir_sqrt13_divide30",0.172379
"float32[1024, 8], float32[8, 1024]",1,"metal0",187.167,"transpose1",0.170144
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"float32[1, 8], float32[1, 1]",1,"metal0",193.5,"fused_tir_square29_sum29",0.175901
"float32[1024, 8], float32[1024, 1]",1,"metal0",238.666,"fused_tir_square30_sum30",0.21696
"float32[1024, 1]",1,"metal0",53.541,"vm.builtin.reshape",0.0486715
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",239.667,"fused_matmul_multiply29_subtract_add32",0.21787
"int64[8]",1,"cpu0",0.458,"vm.builtin.make_shape",0.000416345
"float32[1, 1024], int32[1, 1024]",1,"metal0",287.042,"argsort",0.260936
"int64[8]",1,"cpu0",0.541,"vm.builtin.make_shape",0.000491797
"int64[8]",1,"cpu0",0.291,"vm.builtin.make_shape",0.000264534
"int32[1, 1024], int32[1], int32[1, 1]",1,"metal0",192.875,"take",0.175333
"int64[8]",1,"cpu0",0.417,"vm.builtin.make_shape",0.000379074
"int32[1, 1]",1,"metal0",69.292,"vm.builtin.reshape",0.06299
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"int32[1, 1]",1,"metal0",48.083,"vm.builtin.reshape",0.0437099
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",189.042,"take1",0.171849
"int64[8]",1,"cpu0",0.375,"vm.builtin.make_shape",0.000340894
"float32[1, 8]",1,"metal0",71.709,"vm.builtin.reshape",0.0651871
"int64[8]",1,"cpu0",0.541,"vm.builtin.make_shape",0.000491797
"float32[1, 1, 8]",1,"metal0",65.083,"vm.builtin.reshape",0.0591638
"float32[1024, 8, 1], float32[1024, 1, 1]",1,"metal0",224,"fused_tir_square31_sum31",0.203627
"float32[1024, 1, 1], float32[1024, 8, 1], float32[1024, 1, 1], float32[1024, 8, 1]",1,"metal0",174.75,"fused_tir_sqrt10_divide31_multiply30",0.158857
"float32[1024]",1,"metal0",55.083,"vm.builtin.reshape",0.0500733
"int64[8]",1,"cpu0",0.333,"vm.builtin.make_shape",0.000302714
"int64[8]",1,"cpu0",0.334,"vm.builtin.make_shape",0.000303623
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",247.083,"fused_zeros_add33_add33_add33_add33_add33_add33_add33_add33_conv1d41_add30_add33",0.224611
"int32[1, 1], int32[1, 1], int32[1, 1], int32[1, 1], int32[1, 1], int32[1, 1], int32[1, 1], int32[1, 1], int32[1, 1]",1,"metal0",33.75,"vm.builtin.make_tuple",0.0306805
"float32[1, 1024, 1]",1,"metal0",53.792,"vm.builtin.make_tuple",0.0488997
"float32[1, 1024, 1], int64[8]",1,"cpu0",1,"vm.builtin.match_shape",0.000909051
